iter	Passed	Remaining
776	22256	6387
777	22284	6358
778	22314	6330
779	22340	6301
780	22365	6271
781	22390	6241
782	22418	6213
783	22448	6184
784	22482	6157
785	22514	6129
786	22561	6106
787	22613	6083
788	22657	6059
789	22707	6036
790	22745	6009
791	22773	5981
792	22814	5955
793	22847	5927
794	22880	5899
795	22913	5872
796	22946	5844
797	22977	5816
798	23013	5789
799	23051	5762
800	23084	5735
801	23113	5706
802	23146	5678
803	23177	5650
804	23205	5621
805	23239	5593
806	23271	5565
807	23299	5536
808	23325	5507
809	23352	5477
810	23378	5448
811	23402	5418
812	23429	5389
813	23457	5360
814	23483	5330
815	23510	5301
816	23539	5272
817	23569	5244
818	23599	5215
819	23634	5188
820	23660	5158
821	23685	5128
822	23719	5101
823	23747	5072
824	23773	5042
825	23797	5013
826	23823	4983
827	23845	4953
828	23874	4924
829	23900	4895
830	23932	4867
831	23967	4839
832	23992	4810
833	24019	4780
834	24047	4751
835	24082	4724
836	24113	4695
837	24143	4667
838	24166	4637
839	24194	4608
840	24215	4578
841	24238	4548
842	24263	4518
843	24292	4489
844	24320	4461
845	24348	4432
846	24375	4403
847	24404	4374
848	24439	4346
849	24465	4317
850	24495	4288
851	24518	4259
852	24549	4230
853	24576	4201
854	24603	4172
855	24629	4143
856	24656	4114
857	24684	4085
858	24715	4056
859	24742	4027
860	24772	3999
861	24803	3970
862	24838	3943
863	24872	3915
864	24906	3887
865	24944	3859
866	24971	3830
867	25006	3802
868	25036	3774
869	25075	3746
870	25112	3719
871	25149	3691
872	25188	3664
873	25220	3635
874	25249	3607
875	25280	3578
876	25309	3549
877	25348	3522
878	25376	3493
879	25406	3464
880	25447	3437
881	25485	3409
882	25521	3381
883	25557	3353
884	25585	3324
885	25612	3295
886	25639	3266
887	25671	3237
888	25699	3208
889	25727	3179
890	25757	3150
891	25782	3121
892	25810	3092
893	25842	3064
894	25870	3035
895	25899	3006
896	25933	2977
897	25966	2949
898	25998	2920
899	26023	2891
900	26050	2862
901	26076	2833
902	26106	2804
903	26131	2774
904	26160	2746
905	26189	2717
906	26216	2688
907	26247	2659
908	26283	2631
909	26310	2602
910	26340	2573
911	26365	2544
912	26392	2514
913	26422	2486
914	26447	2456
915	26472	2427
916	26501	2398
917	26530	2369
918	26559	2340
919	26587	2311
920	26621	2283
921	26652	2254
922	26684	2226
923	26709	2196
924	26739	2168
925	26768	2139
926	26795	2110
927	26825	2081
928	26853	2052
929	26885	2023
930	26909	1994
931	26938	1965
932	26964	1936
933	26991	1907
934	27020	1878
935	27042	1849
936	27072	1820
937	27105	1791
938	27134	1762
939	27160	1733
940	27188	1704
941	27209	1675
942	27230	1645
943	27259	1617
944	27286	1588
945	27312	1559
946	27338	1530
947	27365	1501
948	27391	1472
949	27418	1443
950	27444	1414
951	27473	1385
952	27503	1356
953	27534	1327
954	27565	1298
955	27591	1269
956	27622	1241
957	27651	1212
958	27680	1183
959	27709	1154
960	27739	1125
961	27767	1096
962	27799	1068
963	27827	1039
964	27855	1010
965	27884	981
966	27910	952
967	27937	923
968	27965	894
969	27993	865
970	28024	836
971	28051	808
972	28076	779
973	28106	750
974	28135	721
975	28169	692
976	28196	663
977	28224	634
978	28254	606
979	28279	577
980	28305	548
981	28337	519
982	28367	490
983	28392	461
984	28419	432
985	28450	403
986	28478	375
987	28512	346
988	28545	317
989	28572	288
990	28601	259
991	28631	230
992	28660	202
993	28685	173
994	28712	144
995	28738	115
996	28765	86
997	28793	57
998	28820	28
999	28852	0
